entryId,category,title,content,audioRef,sortOrder,enabled
Solar_Tier1,Solar,Solar Power: Getting Started,"Solar panels convert sunlight directly into electricity using photovoltaic cells. They produce most strongly near midday and fall to zero overnight.",,1,true
Solar_Tier2,Solar,Solar Technology Tier 2,"Tier 2 solar tech improves panel efficiency and inverter control for stronger daytime generation.",,2,true
Solar_Tier3,Solar,Solar Technology Tier 3,"Tier 3 upgrades improve heat tolerance and conversion efficiency in sunny biomes.",,3,true
Solar_Tier4,Solar,Solar Technology Tier 4,"Tier 4 solar arrays add better tracking and maintenance automation.",,4,true
Solar_Tier5,Solar,Solar Technology Tier 5,"Tier 5 introduces advanced cells with stronger low-angle light capture.",,5,true
Solar_Tier6,Solar,Solar Technology Tier 6,"Tier 6 pushes conversion efficiency and durability in harsh climates.",,6,true
Solar_Tier7,Solar,Solar Technology Tier 7,"Tier 7 arrays reduce losses and increase output consistency.",,7,true
Solar_Tier8,Solar,Solar Technology Tier 8,"Tier 8 introduces premium materials and better thermal control.",,8,true
Solar_Tier9,Solar,Solar Technology Tier 9,"Tier 9 adds highly optimized modules for elite solar performance.",,9,true
Solar_Tier10,Solar,Solar Technology Tier 10,"Tier 10 delivers peak photovoltaic performance for top-tier clean energy output.",,10,true
Solar_Milestone25,Solar,Solar Milestone: 25 Installed,"Your first large solar field is online. This scale proves solar can anchor your grid.",,1001,true
Solar_Milestone50,Solar,Solar Milestone: 50 Installed,"Solar deployment is accelerating. You now support broad daytime demand with clean output.",,1002,true
Solar_Milestone75,Solar,Solar Milestone: 75 Installed,"A major solar network is established. Grid carbon pressure should begin to ease.",,1003,true
Solar_Milestone100,Solar,Solar Milestone: 100 Installed,"You have built a massive solar backbone capable of powering whole regions.",,1004,true
Wind_Tier1,Wind,Wind Power: Harnessing the Breeze,"Wind turbines convert moving air into electricity. Output fluctuates with wind cycles.",,1,true
Wind_Tier2,Wind,Wind Technology Tier 2,"Tier 2 turbines improve rotor efficiency and control systems.",,2,true
Wind_Tier3,Wind,Wind Technology Tier 3,"Tier 3 towers and blades increase average output in suitable terrain.",,3,true
Wind_Tier4,Wind,Wind Technology Tier 4,"Tier 4 reduces downtime and improves low-wind generation.",,4,true
Wind_Tier5,Wind,Wind Technology Tier 5,"Tier 5 introduces better grid smoothing for variable generation.",,5,true
Wind_Tier6,Wind,Wind Technology Tier 6,"Tier 6 improves mechanical reliability and output consistency.",,6,true
Wind_Tier7,Wind,Wind Technology Tier 7,"Tier 7 aerodynamic improvements boost production across wider wind ranges.",,7,true
Wind_Tier8,Wind,Wind Technology Tier 8,"Tier 8 turbines optimize yaw and pitch for higher sustained output.",,8,true
Wind_Tier9,Wind,Wind Technology Tier 9,"Tier 9 advances materials and control intelligence for premium generation.",,9,true
Wind_Tier10,Wind,Wind Technology Tier 10,"Tier 10 delivers best-in-class wind generation and reliability.",,10,true
Wind_Milestone25,Wind,Wind Milestone: 25 Installed,"Your wind footprint is now significant and helping stabilize carbon trends.",,1001,true
